Seed	Emotion	PoS
colorato	gioia	A
esuberante	gioia	A
gaudio	gioia	S
esultanza	gioia	S
libero	gioia	A
eccitato	gioia	A
bellezza	gioia	S
letizia	gioia	S
spensieratezza	gioia	S
risata	gioia	S
soddisfazione	gioia	S
goduria	gioia	S
inebriare	gioia	V
euforico	gioia	A
trionfante	gioia	A
gaiezza	gioia	S
eccitare	gioia	V
cielo	gioia	S
esilarare	gioia	V
cantare	gioia	V
allegria	gioia	S
gaio	gioia	A
giubilo	gioia	S
contento	gioia	A
gioia	gioia	S
festoso	gioia	A
inebriato	gioia	A
allegro	gioia	A
giocare	gioia	V
serenità	gioia	S
giocondità	gioia	S
solleticare	gioia	V
deliziato	gioia	A
appagato	gioia	A
condividere	gioia	V
rapsodia	gioia	S
trionfo	gioia	S
sorriso	gioia	S
vivace	gioia	A
festosità	gioia	S
esilarante	gioia	A
vincere	gioia	V
gioiosità	gioia	S
esaltare	gioia	V
esaltato	gioia	A
pienezza	gioia	S
ritrovare	gioia	V
spensierato	gioia	A
partecipare	gioia	V
abbracciare	gioia	V
entusiasmare	gioia	V
esilarato	gioia	A
mare	gioia	S
sole	gioia	S
esultare	gioia	V
eccitazione	gioia	S
piacere	gioia	S
deliziare	gioia	V
giubilare	gioia	V
inebriazione	gioia	S
giocondo	gioia	A
ingiusto	rabbia	A
esplosivo	rabbia	A
offesa	rabbia	S
irascibile	rabbia	A
pugno	rabbia	S
vessazione	rabbia	S
infuriato	rabbia	A
scontroso	rabbia	A
rancoroso	rabbia	A
invidioso	rabbia	A
pazzo	rabbia	S
detestare	rabbia	V
impotente	rabbia	A
incazzare	rabbia	V
isterico	rabbia	A
violento	rabbia	A
gridare	rabbia	V
rabbia	rabbia	S
infuriare	rabbia	V
imbestialire	rabbia	A
impetuoso	rabbia	A
nervosismo	rabbia	S
aggredire	rabbia	V
imbestialito	rabbia	A
picchiare	rabbia	V
irritabilità	rabbia	S
adombrare	rabbia	V
reagire	rabbia	V
violenza	rabbia	S
capriccio	rabbia	S
malumore	rabbia	S
imbestialire	rabbia	V
mania	rabbia	S
arrabbiatura	rabbia	S
oltraggio	rabbia	S
indignare	rabbia	A
ira	rabbia	S
petulanza	rabbia	S
istintivo	rabbia	A
irritabile	rabbia	A
odio	rabbia	S
furente	rabbia	A
idrofobo	rabbia	A
rompere	rabbia	V
furia	rabbia	S
indignato	rabbia	A
vessare	rabbia	V
irritato	rabbia	A
vaffanculo	rabbia	S
prepotente	rabbia	A
accanimento	rabbia	S
schiaffo	rabbia	S
rosso	rabbia	A
folle	rabbia	A
vessato	rabbia	A
controllo	rabbia	S
sfogo	rabbia	S
innervosisrsi	rabbia	V
grido	rabbia	S
